Row ID,Category,Sub-Category,Product Name
108,Technology,Phones,Speck Products Candyshell Flip Case
109,Office Supplies,Art,Newell Chalk Holder
110,Technology,Accessories,Logitech Gaming G510s - Keyboard
111,Furniture,Furnishings,Magnifier Swing Arm Lamp
112,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
113,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders"
114,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
115,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
116,Office Supplies,Paper,Xerox 1921
117,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
118,Furniture,Tables,Hon Racetrack Conference Tables
119,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
120,Furniture,Furnishings,Artistic Insta-Plaque
121,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
122,Office Supplies,Storage,"Companion Letter/Legal File, Black"
123,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes
124,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
125,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
126,Furniture,Tables,Bevis 44 x 96 Conference Tables
127,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
128,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
129,Furniture,Chairs,"Global Task Chair, Black"
130,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
131,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
132,Office Supplies,Paper,Xerox 1916
133,Office Supplies,Fasteners,Staples
134,Office Supplies,Paper,Xerox 195
135,Office Supplies,Paper,Xerox 1880
136,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box"
137,Office Supplies,Fasteners,Ideal Clamps
138,Office Supplies,Binders,GBC Wire Binding Strips
139,Office Supplies,Supplies,Fiskars Softgrip Scissors
140,Furniture,Furnishings,Longer-Life Soft White Bulbs
141,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
142,Office Supplies,Art,Newell 343
143,Office Supplies,Envelopes,Convenience Packs of Business Envelopes
144,Office Supplies,Paper,Xerox 1911
145,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
146,Office Supplies,Storage,Safco Industrial Wire Shelving
147,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock"
148,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C
149,Technology,Phones,Anker Astro 15000mAh USB Portable Charger
150,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
151,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
152,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
153,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset
154,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
155,Office Supplies,Paper,Xerox 1883
156,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
157,Office Supplies,Art,Newell 311
158,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
159,Office Supplies,Labels,Avery 519
160,Technology,Phones,Avaya 5420 Digital phone
161,Office Supplies,Paper,Xerox 1920
162,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad
163,Office Supplies,Envelopes,Staple envelope
164,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders
165,Office Supplies,Art,BIC Brite Liner Highlighters
166,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
167,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
168,Furniture,Chairs,SAFCO Arco Folding Chair
169,Office Supplies,Art,Sanford Liquid Accent Highlighters
170,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
171,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker
172,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"
173,Office Supplies,Paper,Xerox 1913
174,Furniture,Chairs,"Global Value Steno Chair, Gray"
175,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
176,Office Supplies,Labels,Avery 51
177,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
178,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
179,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener
180,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
181,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
182,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
183,Technology,Phones,AT&T TR1909W
184,Technology,Phones,Nokia Lumia 521 (T-Mobile)
185,Technology,Accessories,HP Standard 104 key PS/2 Keyboard
186,Office Supplies,Binders,Avery Poly Binder Pockets
187,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
188,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
189,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
190,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
191,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
192,Office Supplies,Paper,Xerox 205
193,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
194,Office Supplies,Art,4009 Highlighters by Sanford
195,Office Supplies,Envelopes,Poly String Tie Envelopes
196,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
197,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
198,Office Supplies,Storage,Decoflex Hanging Personal Folder File
199,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
200,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
201,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
202,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
203,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
204,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright
205,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
206,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone
207,Office Supplies,Storage,"Tennsco Lockers, Gray"
208,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
209,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
210,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
211,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
212,Technology,Accessories,Memorex Micro Travel Drive 8 GB
213,Office Supplies,Labels,Avery 505
214,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
215,Technology,Phones,Speck Products Candyshell Flip Case
216,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
217,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
218,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
219,Technology,Phones,Adtran 1202752G1
220,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips
221,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
222,Office Supplies,Binders,Ibico Standard Transparent Covers
223,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
224,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
225,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners
226,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
227,Furniture,Tables,Bevis 36 x 72 Conference Tables
228,Office Supplies,Storage,Rogers Deluxe File Chest
229,Furniture,Chairs,Global Low Back Tilter Chair
230,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
231,Office Supplies,Binders,GBC Instant Index System for Binding Systems
232,Furniture,Tables,Bush Advantage Collection Round Conference Table
233,Furniture,Tables,Bretford Rectangular Conference Table Tops
234,Office Supplies,Binders,GBC Instant Index System for Binding Systems
235,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
236,Technology,Accessories,Logitech P710e Mobile Speakerphone
237,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
238,Office Supplies,Paper,Xerox 1957
239,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
240,Furniture,Furnishings,Staple-based wall hangings
241,Technology,Phones,PureGear Roll-On Screen Protector
242,Furniture,Tables,KI Conference Tables
243,Furniture,Furnishings,Eldon 100 Class Desk Accessories
244,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
245,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
246,Office Supplies,Storage,Safco Steel Mobile File Cart
247,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
248,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
249,Office Supplies,Paper,Xerox 205
250,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
251,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
252,Technology,Accessories,Logitech P710e Mobile Speakerphone
253,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy"
254,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes
255,Furniture,Furnishings,Eldon 100 Class Desk Accessories
256,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black"
257,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
258,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone
259,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub
260,Office Supplies,Storage,Safco Industrial Shelving
261,Office Supplies,Binders,Acco 3-Hole Punch
262,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
263,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
264,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer
265,Technology,Phones,Cisco Small Business SPA 502G VoIP phone
266,Technology,Accessories,Microsoft Sculpt Comfort Mouse
267,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack"
268,Office Supplies,Fasteners,Bagged Rubber Bands
269,Office Supplies,Storage,Safco Commercial Shelving
270,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
271,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart
272,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
273,Furniture,Furnishings,Regeneration Desk Collection
274,Office Supplies,Binders,Presstex Flexible Ring Binders
275,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
276,Office Supplies,Art,Newell 330
277,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad"
278,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages"
279,Office Supplies,Storage,Eldon Simplefile Box Office
280,Office Supplies,Labels,Avery 489
281,Office Supplies,Binders,Round Ring Binders
282,Technology,Phones,Bose SoundLink Bluetooth Speaker
283,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top"
284,Office Supplies,Paper,Easy-staple paper
285,Technology,Accessories,Microsoft Arc Touch Mouse
286,Office Supplies,Paper,Xerox 216
287,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine
288,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
289,Office Supplies,Supplies,Premier Automatic Letter Opener
290,Office Supplies,Fasteners,Advantus SlideClip Paper Clips
291,Office Supplies,Labels,Avery 512
292,Technology,Accessories,Logitech Wireless Gaming Headset G930
293,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
294,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
295,Furniture,Chairs,Global Deluxe Office Fabric Chairs
296,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
297,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers
298,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box"
299,Office Supplies,Paper,Xerox 223
300,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand"
301,Office Supplies,Paper,Xerox 1939
302,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"
303,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings
304,Furniture,Tables,BPI Conference Tables
305,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp
306,Office Supplies,Art,Newell 350
307,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
308,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners
309,Office Supplies,Art,Faber Castell Col-Erase Pencils
310,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
311,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
312,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
313,Office Supplies,Labels,Avery 509
314,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black"
315,Technology,Phones,AT&T 1070 Corded Phone
316,Office Supplies,Paper,Xerox 21
317,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670"
318,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair
319,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier
320,Technology,Phones,Panasonic Kx-TS550
321,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router
322,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
323,Office Supplies,Fasteners,OIC Binder Clips
324,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers
325,Technology,Accessories,Logitech Wireless Headset h800
326,Furniture,Furnishings,Telescoping Adjustable Floor Lamp
327,Technology,Phones,Aastra 57i VoIP phone
328,Office Supplies,Storage,"File Shuttle II and Handi-File, Black"
329,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
330,Office Supplies,Labels,Round Specialty Laser Printer Labels
331,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern
332,Technology,Phones,AT&T 841000 Phone
333,Office Supplies,Binders,Ibico Recycled Grain-Textured Covers
334,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels
335,Office Supplies,Binders,Storex Dura Pro Binders
336,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier
337,Office Supplies,Binders,Avery Non-Stick Binders
338,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders
339,Furniture,Tables,Hon 5100 Series Wood Tables
340,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
341,Office Supplies,Art,Newell 314
342,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
343,Office Supplies,Fasteners,Staples
344,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
345,Office Supplies,Storage,Fellowes Super Stor/Drawer
346,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
347,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
348,Office Supplies,Paper,Easy-staple paper
349,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip"
350,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub
351,Office Supplies,Paper,Xerox 1881
352,Office Supplies,Binders,Acco Hanging Data Binders
353,Office Supplies,Paper,Xerox 1881
354,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System
355,Furniture,Bookcases,Sauder Barrister Bookcases
356,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box"
357,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush"
358,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”"
359,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
360,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection
361,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2"""
362,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2"""
363,Furniture,Chairs,Global Ergonomic Managers Chair
364,Office Supplies,Art,Newell 333
365,Furniture,Furnishings,Eldon Wave Desk Accessories
366,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
367,Office Supplies,Binders,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders
368,Office Supplies,Supplies,Staple remover
369,Office Supplies,Storage,Pizazz Global Quick File
370,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
371,Office Supplies,Paper,Xerox 1930
372,Office Supplies,Storage,File Shuttle I and Handi-File
373,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels
374,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router
375,Office Supplies,Art,Newell 324
376,Technology,Accessories,Microsoft Natural Keyboard Elite
377,Office Supplies,Paper,Xerox 1960
378,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D"
379,Office Supplies,Appliances,Holmes Odor Grabber
380,Office Supplies,Storage,Akro-Mils 12-Gallon Tote
381,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black"
382,Office Supplies,Paper,Southworth Structures Collection
383,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8"""
384,Technology,Accessories,Sony 32GB Class 10 Micro SDHC R40 Memory Card
385,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal"
386,Technology,Accessories,Logitech Media Keyboard K200
387,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server
388,Furniture,Furnishings,3M Hangers With Command Adhesive
389,Office Supplies,Art,Crayola Colored Pencils
390,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders"
391,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
392,Technology,Phones,Nortel Meridian M3904 Professional Digital phone
393,Technology,Copiers,Canon PC1080F Personal Copier
394,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders
395,Office Supplies,Binders,Tuf-Vin Binders
396,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma
397,Office Supplies,Paper,Xerox 1958
398,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors"
399,Office Supplies,Storage,Super Decoflex Portable Personal File
400,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
